1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
0	0	0	0.186650792	0	0	0	0	0	0	0	0	0.032636665	0	0.053953013	0.028148961	0.01941812	0.063113235	0.009442606	0.054337969	0.076773963	0.030819393	0.056224734	0.043808422	0.044821741	0.051768356	0.060901416	0.034811896	0.056604591	0.032356011	0.038099509	0.039823625	0.054598323	0.037045438	0.026985596	0.035482554	0.046298246	0.042091007	0.037865327	0.03614978	0.040244164	0.050906569	0.058066977	0.049167082	0.052227068	0.056676887	0.055593829	0.059213367	0.053331748	0.057490989	0.063711736	0.055007756	0.071807126	0.068145217	0.080525316	0.076135996	0.078646441	0.069812059	0.085523641	0.100689373	0.089550468	0.09671226	0.098077216	0.102959711	0.106234693	0.108075559	0.100885016	0.098241764	0.105538313	0.107357637
0	0	0	0	0	0	0.250029422	0.164800984	0.152033634	0.158122199	0.087128063	0.132504404	0.092198573	0.129909543	0.272449305	0.316330173	0.521417905	0.339421935	0.406686943	0.292026865	0.386011072	0.34071075	0.367220218	0.415868001	0.350838646	0.379464947	0.37655109	0.409912717	0.256447801	0.380034072	0.351840119	0.330209162	0.284510914	0.267678477	0.204257173	0.200054846	0.151660427	0.135362104	0.084479002	0.092429081	0.100478203	0.06611633	0.068049847	0.074548613	0.054511393	0.066823916	0.07993552	0.078869906	0.065770304	0.079814281	0.060401573	0.080072323	0.054702015	0.045379198	0.052218016	0.061690785	0.059084605	0.06207875	0.077810127	0.064698817	0.058826013	0.065998292	0.062568463	0.063116904	0.060092544	0.056306612	0.058195785	0.058313527	0.064955613	0.06564771
0.052804429	0.083491856	0.059510718	0.048602724	0.063844124	0.028848259	0.050046409	0.041450839	0.035867453	0.025167904	0.026239054	0.030021479	0.029945237	0.049302351	0.064010859	0.050622038	0.064804352	0.065791792	0.067789011	0.078309659	0.063954344	0.075242836	0.107233254	0.089864654	0.09418474	0.102541488	0.106426024	0.124569731	0.105691263	0.135225659	0.124756424	0.134463649	0.129325333	0.133297121	0.145225266	0.115111806	0.138092337	0.143683466	0.125932653	0.118681342	0.125831537	0.118112454	0.119632713	0.122419988	0.122455163	0.134972674	0.152376576	0.14516589	0.164840393	0.163597229	0.190199646	0.19278843	0.202705241	0.22063371	0.24306512	0.235453773	0.261717146	0.252701135	0.258207993	0.246362267	0.246908326	0.225580374	0.216858225	0.203574725	0.198624081	0.192817229	0.185848381	0.178787062	0.170084017	0.172280868
0.092741957	0.086782773	0.211941685	0.164341934	0.137934838	0.194788105	0.156131908	0.18128886	0.185814958	0.198154153	0.317330819	0.514157269	0.530473343	0.602741866	0.551451839	0.639031533	0.553689334	0.602876998	0.514045351	0.476844301	0.554239822	0.484706763	0.543510127	0.599738516	0.623542335	0.62590385	0.503238058	0.548587396	0.541012182	0.496447605	0.486622503	0.507990211	0.494243832	0.499333902	0.48820658	0.496420059	0.457798408	0.446166591	0.426878169	0.429779099	0.407434344	0.405922	0.377449183	0.379094158	0.396920349	0.368906015	0.366660104	0.378212108	0.351543049	0.34007324	0.34375027	0.333798131	0.331130763	0.30077993	0.318316424	0.318016214	0.305203496	0.310986742	0.307954726	0.309459088	0.317727211	0.312925134	0.297810075	0.295365875	0.298396988	0.292848862	0.290586394	0.291578015	0.304123011	0.30711463
1.395267622	1.219193644	1.353700341	1.257447648	1.350128312	1.044059012	1.009365113	0.820835672	1.023379354	0.929042887	0.885797927	0.909994034	0.865997642	0.825568564	0.865148057	0.907995315	0.808235891	0.891086105	0.874303857	0.872457376	0.798575848	0.948470936	0.980077125	1.111725191	1.181736525	1.214738229	1.255812227	1.255666892	1.367341391	1.367390671	1.461763183	1.448250318	1.488282383	1.472287677	1.492557793	1.507120302	1.51142809	1.468560159	1.484853891	1.438122346	1.380363	1.338271831	1.368086324	1.408666228	1.442251008	1.370544933	1.412214529	1.344759382	1.348798861	1.406101077	1.401657037	1.424068118	1.427332858	1.446090208	1.444911971	1.478437127	1.479744514	1.459975191	1.495075898	1.461617407	1.493018044	1.489123577	1.499702917	1.511949908	1.510816888	1.488313996	1.472622048	1.485183645	1.419460161	1.434995684
0.109216614	0.096731984	0.104300132	0.126922539	0.119571857	0.110889595	0.119123967	0.091077467	0.110136142	0.0950296	0.088615339	0.060018005	0.106087684	0.065997081	0.046872345	0.042303954	0.11212461	0.126637794	0.104144286	0.090595546	0.081324364	0.093697409	0.073324354	0.079219851	0.074677045	0.077326307	0.069580811	0.075920487	0.081631673	0.084799594	0.081856516	0.088481695	0.091338968	0.078869612	0.082054015	0.068449617	0.081437432	0.078072275	0.067531562	0.065440589	0.070515698	0.061172735	0.064048329	0.066127869	0.064216594	0.071182846	0.072891175	0.063511599	0.07049061	0.071041043	0.085060064	0.081580956	0.08666151	0.100651332	0.099491783	0.105686213	0.109119683	0.112655795	0.118494585	0.136540708	0.134184665	0.130551773	0.130058165	0.125116448	0.129426838	0.124582801	0.124785675	0.12018554	0.117313111	0.113803332
0.045901682	0.035654755	0.045227157	0.067565231	0.051765506	0.049014845	0.027573105	0.027854445	0.032593019	0.031431019	0.086589457	0.042399952	0.05699791	0.062631046	0.06978939	0.076590143	0.059627979	0.042583438	0.070387411	0.054106504	0.045044945	0.055236034	0.042972695	0.044778558	0.039852773	0.060414528	0.045103026	0.05798003	0.050071891	0.048002126	0.050611357	0.053307234	0.062675746	0.065070829	0.046670551	0.06090234	0.06606224	0.05494205	0.059717964	0.050254374	0.054672227	0.076707994	0.05186926	0.052837756	0.060366811	0.068687562	0.049168643	0.043631723	0.050913922	0.065700826	0.086700919	0.075199424	0.077792336	0.075242738	0.083171624	0.095826516	0.091098991	0.108123446	0.10395831	0.106156481	0.102522801	0.104535495	0.108145009	0.106686818	0.103613116	0.10394725	0.108081016	0.106905893	0.105744189	0.10301324
2.435658401	2.445325558	2.485008736	2.557852388	2.5681824	2.569123346	2.568873138	2.577652112	2.632629987	2.624983617	2.657832587	2.657231189	2.733619435	2.749739739	2.800709344	2.852282748	2.918897978	2.932564953	2.994775714	2.984514317	3.04995986	3.075520999	3.114638538	3.164541352	3.182564399	3.207903812	3.275100483	3.291219978	3.293205927	3.286217887	3.291183862	3.283333927	3.319025335	3.35465053	3.362622187	3.347904213	3.364093754	3.356081207	3.318928036	3.314449696	3.300805211	3.30599215	3.305533959	3.293276469	3.28092163	3.285829477	3.29847639	3.273055301	3.22832408	3.212571786	3.210135516	3.207669045	3.180853909	3.180876028	3.187248355	3.185778642	3.163064384	3.169512741	3.134002406	3.110081472	3.082379518	3.043014348	3.03289154	3.027689477	3.016205353	2.999369906	2.998447014	3.023730377	2.910979721	2.923751925
1.619765673	1.56000122	1.702697313	1.755638808	1.792443824	1.76104125	1.802896052	1.594668781	1.710601322	1.78933548	1.658976802	1.673467103	1.69191985	1.667973034	1.551674412	1.654761666	1.626018357	1.649801926	1.605313459	1.466562266	1.445306383	1.393623868	1.432939722	1.280647475	1.366504406	1.377084831	1.36274882	1.38535493	1.352769921	1.246137544	1.220809508	1.218926196	1.281941149	1.235320662	1.227727733	1.227717472	1.192532962	1.203200602	1.134937785	1.093864387	1.080471851	1.097252129	1.019309703	1.033747562	1.025161352	1.045206879	1.017089153	1.048519441	1.039036227	1.023597841	1.047232886	1.042676776	1.06180936	1.066562673	1.088138139	1.114591987	1.164592454	1.146250832	1.173178881	1.183991287	1.164479228	1.170380346	1.170739544	1.192224065	1.19472351	1.217277891	1.224540751	1.263395137	1.247212521	1.299046354
1.18518764	1.236010107	1.006722996	1.15532055	1.356687642	1.124157894	0.961571485	1.214528017	0.957510406	1.303978581	1.276641277	1.448659949	1.527468902	1.534399809	1.607593377	1.532568895	1.622478552	1.747176908	1.702425174	1.896503857	2.076976841	2.007161787	2.301478635	2.482775918	2.352070587	2.321969056	2.34091621	2.40409794	2.489117787	2.628111698	2.591165456	2.579617606	2.670261065	2.605335029	2.618128316	2.800146022	2.862263117	2.868540952	2.711159078	2.880355177	2.775781008	2.790654614	2.80862342	2.772396714	2.777414026	2.751979174	2.864969877	2.810525124	2.867659243	2.783246279	2.769285354	2.882874253	2.854529812	2.858394103	2.901589886	2.834909317	2.826126004	2.782291367	2.73957824	2.692268888	2.702561612	2.700703999	2.661911231	2.639956105	2.614533037	2.602822067	2.576661287	2.591879006	2.506968452	2.493458459
